nom,type,localisation,site_web,email,telephone,source,pays
Collège Saint-Philippe Néri,Privé,"Antibes, Alpes-Maritimes",http://www.saint-philippe-neri.fr,ce.0060823m@ac-nice.fr,04 97 21 70 50,annuaire_france,France
Collège privé Saint-Joseph,Privé,"Secondigny, Deux-Sèvres",http://stjo-secondigny.fr,ce.0790074b@ac-poitiers.fr,05 49 63 71 02,annuaire_france,France
Groupe scolaire Alliance Rachi,Privé,"Paris, Paris",https://www.aiu.org/fr/groupe-scolaire-alliance-rachi,Secretariat@alliancerachi.org,01 70 08 75 10,annuaire_france,France
Lycée Sainte thérèse,Privé,"Rémire-Montjoly, Guyane",https://clg-lg-sainte-therese.eta.ac-guyane.fr/,,05 94 38 06 35,annuaire_france,France
Lycée Diwan (enseignement immersif en breton),Privé,"Vannes, Morbihan",https://www.diwan.bzh/fr/etablissements/bro-diwan-gwened/skolaj-lise-diwan-gwened,ce.0561981Z@ac-rennes.fr,02 97 62 60 80,annuaire_france,France
Lycée polyvalent Saint-Martin,Privé,"Palaiseau, Essonne",https://www.institution-saintmartin.fr,8mai@institution-saintmartin.fr,01 76 47 15 50,annuaire_france,France
Lycée privé Gymnase Jean Sturm,Privé,"Strasbourg, Bas-Rhin",http://www.legymnase.eu,contact-jeansturm@legymnase.eu,03 88 15 77 10,annuaire_france,France
Lycée professionnel Saint-Joseph,Privé,"Miribel, Ain",https://www.saintjoseph01.fr/,contact@saintjoseph01.fr,04 78 55 29 66,annuaire_france,France
Collège privé Sancta Maria,Privé,"Villeneuve-lès-Avignon, Gard",https://www.institution-sanctamaria.org/,ecolgsanctamaria.adm@wanadoo.fr,04 90 25 41 62,annuaire_france,France
Lycée polyvalent Jean Bosco,Privé,"Guînes, Pas-de-Calais",https://www.jeanbosco-guines.fr/,ce.0622150a@ac-lille.fr,03 21 35 22 64,annuaire_france,France
