categorie,nom,type,statut,adresse,ville,telephone,email,site_web,lien_fiche
primaire,Alternative School M'saken,Primaire,Privé,Route kairouan en face du lycée khawarezmi,M'saken,+216 29 007 115,altrnativeschool@yahoo.com,,https://www.ecoles.com.tn/etablissements/primaire/alternative-school-msaken
primaire,AlYosser,Primaire,Privé,Cité Eriadh sbiba,Kasserine,52571142,,,https://www.ecoles.com.tn/etablissements/primaire/alyosser
primaire,Ambassadeur,Primaire,Privé,Rue Tarek Ben Ziyed,Moknine,+216 73 476 672 / 99 268 225,,,https://www.ecoles.com.tn/etablissements/primaire/ambassadeur
primaire,British International School of Tunis,Primaire,Privé,49 rue du Parc,La Soukra,+216 70 24 08 80 / 94 23 27 20,admissions@bistunis.com,http://www.bistunis.com/,https://www.ecoles.com.tn/etablissements/primaire/british-international-school-tunis
primaire,École Canadienne de Tunis - ECT,Primaire,Privé,"Croisement . Rue de l’Énergie Solaire/Rue des métaux, Charguia 1",Charguia,+216 71 20 60 35 / 26 74 99 49,contact@ec-tunis.com,http://www.ec-tunis.com,https://www.ecoles.com.tn/etablissements/primaire/ecole-canadienne-de-tunis-ect
primaire,Ecole Mahjoub,Primaire,Privé,"32, rue du Niger",Tunis Ville,contact@ecolemahjoub.com,,,https://www.ecoles.com.tn/etablissements/primaire/ecole-mahjoub
primaire,École primaire privée les génies,Primaire,Privé,17 rue 13 out El wardia /17 rue Ahmed maskawaih abisene menfleury,Médina,+216 71 37 28 52,,,https://www.ecoles.com.tn/etablissements/primaire/ecole-primaire-privee-les-genies
primaire,École privée Errayhane,Primaire,Privé,Route Mehdia km2 El bousten,Sfax,+216 74 21 52 64,,,https://www.ecoles.com.tn/etablissements/primaire/ecole-privee-errayhane
primaire,El Académie,Primaire,Privé,1 rue taher el hadded,Le Bardo,21599064,,,https://www.ecoles.com.tn/etablissements/primaire/el-academie
primaire,El Amed,Primaire,Privé,Place Abderrahmen Dahmeni,Beni Hassen,+216 31 545 000 / 58 518 322,,https://www.amed-sahline.tn/?fbclid=IwZXh0bgNhZW0CMTAAAR0wp3BCFWC5ZoVKfTxjTNq5tn5XBBTv1fXCEGC5k6xgQONHdO5oR65ci4Q_aem_AaPOeBH5Yfrtf4l_tu1N96VJItGsJ5kfV-7ANCdbtiIK78jcPO808Y7TNNwk0GY0Ik9HRWkjMQ-tcmznt_lBco6K,https://www.ecoles.com.tn/etablissements/primaire/el-amed
primaire,Elfaouz,Primaire,Privé,Rue sidi younes elssouk,Fériana,97 043 032,,,https://www.ecoles.com.tn/etablissements/primaire/elfaouz
primaire,Ichrak School,Primaire,Privé,Route Kaid Mhamed km 2.5,Sfax,+216 23 06 00 06 / 55 84 52 45 / 44 94 92 49,ichrakschool@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/ichrak-school
primaire,Institution ESPOIRS,Primaire,Privé,"Lot 124 ZI Chotrana2, Ariana Essoghra",Ariana Ville,+216 55 43 51 39,espoirs.ens@gmail.com,http://www.institutionespoirs.tn,https://www.ecoles.com.tn/etablissements/primaire/institution-espoirs
primaire,kounouz all ghad,Primaire,Privé,Rue de l'environement n 119 sidi hassine sedjoumi,Tunis,+216 25 30 00 71,,,https://www.ecoles.com.tn/etablissements/primaire/kounouz-all-ghad
primaire,la créativité,Primaire,Privé,"Sidi Ameur, Monastir, Tunisia",Sahline,52 730 485 / 26 333 032,contact@ecoledelacreativite.com,,https://www.ecoles.com.tn/etablissements/primaire/la-creativite
primaire,Lamis School Mourouj,Primaire,Privé,Rue de Gaza,El Mourouj,+216 50 986 912,lamischool@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/lamis-school-mourouj
primaire,Les Trois Colombes,Primaire,Privé,Route Inetercommunale par la route Z4,Mégrine,+216 71 297 277 / 95 654 422,lestrois_colombes@yahoo.fr,,https://www.ecoles.com.tn/etablissements/primaire/les-trois-colombes
primaire,Mongil School,Primaire,Privé,"Rue du pakistan Mongil, Rades",Ben Arous ville,+216 71 447 911 / 71 440 602 / 20 273 768,contact@mongilschool.com,http://www.mongilschool.com,https://www.ecoles.com.tn/etablissements/primaire/mongil-school
